#,Name,TOM,People,Speed,Range,Payload,OEM,Comments
1,A2-Cal Aptos Blue,2000,3,220,450,None,#VALUE!,None
2,Vahana-Beta,815,2,230,100,200,#VALUE!,None
3,ACS Aviation Z-300,1000,2,222,300,None,#VALUE!,None
4,Advanced Research Foundation Cyclocar,None,6,250,500,600,#VALUE!,"Hybrid, payload 600 kg"
5,Advanced System Engineering - FIPSI BX4,449,2,72,483,None,#VALUE!,None
6,Advanced System Engineering - FIPSI WX4,449,2,72,483,None,#VALUE!,None
7,aeroG Aviation aG-4 Liberty,5670,12,519,None,None,#VALUE!,"Canard wing with rear high wing, 15 m span"
8,aeroG Aviation UV-4,5670,0,519,None,None,#VALUE!,None
12,AirisOne,None,5,282,322,None,#VALUE!,None
13,Airspace Experience Technologies MOBi-ONE V1,None,4,240,103,200,#VALUE!,Payload 200 kg
15,AMSL Aero Vertiia,None,6,300,250,None,#VALUE!,"Range of 800 km for hybrid, "
16,Archer Maker,None,2,241,96,None,#VALUE!,None
17,Archer (Unnamed 5 seat eVTOL),3175,5,241,100,None,#VALUE!,None
18,Aston Martin Volante Vision,None,3,402,805,None,#VALUE!,Hybrid
20,Aurora LightingStrike,5900,0,555,None,None,#VALUE!,None
21,Autonomous Flight Y6S,None,1,201,130,None,#VALUE!,Ducted props
22,Autonomous Flight Y6S Plus,None,1,201,130,None,#VALUE!,None
23,Avioneo Robotics 2345,None,3,300,2000,None,#VALUE!,Cruise is from 160 to 300 km/h
25,Baaz Production Model,None,5,300,200,600,#VALUE!,"Range 300 km with hydrogen fuel cells (200 with batteries), max payload 600 kg"
26,Bartini Flying car,1100,4,300,150,None,#VALUE!,"Range 500 km with hydrogen fuel cells, battery weight 320 kg"
28,Bell Nexus 4EX,3175,5,241,97,None,#VALUE!,Hybrid range is 241km
29,Bell Nexus 6HX,2720,5,288,None,None,#VALUE!,Hybrid electric range is 288 km
30,Beta Technologies Ava XC,None,2,277,241,None,1814,Empty weight 1814 kg
31,Cadillac VTOL,None,1,None,90,None,#VALUE!,None
32,CFC AirCAR,None,5,322,1609,None,#VALUE!,Literally a car with wings
34,CycloTech Passenger Demonstrator,2200,None,150,85,None,#VALUE!,None
41,Deep Blue Aviation Sky Cruiser,None,10,140,None,None,#VALUE!,Also proposed helium lift
42,DeLorean Aerospace DR-7,None,None,389,193,None,#VALUE!,None
43,Detroit Flying Cars WD-1,680,2,201,644,None,#VALUE!,Hybrid 
45,Digi Robotics Droxi,None,14,100,None,None,#VALUE!,Delivery drone
46,Dufour aEro 2,None,2,320,800,None,#VALUE!,Rotating wing
47,Dufour aEro 3,None,7,350,120,None,#VALUE!,800 km with hybrid configuration
49,Eco'Trip,550,2,115,None,None,#VALUE!,Amphibious vehicle
51,EVA X01,None,2,400,250,None,#VALUE!,None
56,Freedom Transports Zero G eCruzer,None,8,676,2778,None,#VALUE!,None
66,Grug Group SBX,None,5,300,400,None,#VALUE!,"Range questionable, based on other statistics"
68,HopFlyt Venturi,815,5,220,185,None,#VALUE!,None
70,Hyundai S-A1,None,5,290,97,None,#VALUE!,None
74,Jetoptera J2000,907,2,322,322,None,#VALUE!,None
75,Joby Aviation Monarch (defunct),227,1,101,101,None,#VALUE!,Defunct
76,Joby Lotus (defunct),151.9,None,185.2,4444.8,None,#VALUE!,Defunct
78,Joby S4,1815,5,322,241.4,None,#VALUE!,None
79,KARI OPPAV,650,5,200,60,None,#VALUE!,None
80,KineticCo Aerospace and Advanced Technologies,None,2,402,1600,None,#VALUE!,None
81,Kitty Hawk Heaviside,None,1,354,161,None,#VALUE!,None
82,Kronstadt Air Taxi,None,3,200,150,None,#VALUE!,None
84,Lilium Eagle,640,2,300,300,None,#VALUE!,Defunct
86,Lilium Jet,3175,7,280,250,None,#VALUE!,None
87,Macchina Volantis Flying Car,2220,5,278,1600,None,#VALUE!,None
89,Manta Aircraft ANN2,None,2,300,300,None,#VALUE!,None
90,Micor Technologies Advanced Individual VTOL Aircraft (AIVA),None,1,200,87,None,#VALUE!,None
91,Micor Technologies Advanced Multi-passenger VTOL Aircraft (AMVA),None,7,230,125,None,#VALUE!,None
92,Micor Technologies Variable Geometry VTOL aircraft (VAGEV),None,1,130,140,None,#VALUE!,None
93,Moller Skycar M200,780.1,2,329.9,698.5,None,#VALUE!,Ethanol
94,Moller Skycar M400,1415,4,210,1300,None,#VALUE!,Ethanol
95,Moscow Team AI Kamchatka,1588,4,348,306,None,#VALUE!,None
96,MyDraco,None,2,None,300,None,#VALUE!,None
99,NEAE-GSI eVTOL-BUS,30000,60,300,300,None,#VALUE!,"25000 payload, assumed 30000 MTOW"
100,NEAE-GSI eVTOL-Taxi,None,21,300,500,None,#VALUE!,Stupid aircraft
102,NFT ASKA 1.0 Concept Design,None,4,None,563,None,#VALUE!,None
104,Orca eVTOL,None,3,296,120,None,#VALUE!,"Max range at 204 km/h, 7 propellers (4 vertical,2 tilt, 1 push)"
105,Overair Butterfly,None,5,322,161,None,#VALUE!,4 props
107,PDRL AeroHans 2S,None,3,100,40,450,#VALUE!,Payload 450 kg
108,PDRL AeroHans 4S,None,5,100,40,850,#VALUE!,"Payload 850 kg, 8 propellers and 8 motors"
111,Ray VTOL,None,5,360,1800,None,#VALUE!,Turboshafts??
119,Sabrewing Rhaegal,1001,0,333,None,None,#VALUE!,"Max cruise V 370 km/h, turbine, (MGW for VTOL 1001)"
121,Samad Starling,None,10,740,2000,None,#VALUE!,Blended wing with giant engines idk what this is tbh
122,Samad e-Starling,None,7,482,644,None,#VALUE!,Lots of  different images of different designs on the same plane
124,Scienex Flyter,850,2,120,100,250,600,"600 OEW, 250 kg of payload, flying fuselage"
126,SKYLYS Aircraft AO,540,3,240,150,None,#VALUE!,None
127,Stuttgart Aerospace Apollo,None,2,100,50,None,#VALUE!,None
128,Stuttgart Aerospace Eolos,None,6,100,50,480,#VALUE!,Payload 480 kg
129,Stuttgart Aerospace Eolos I,None,1,100,,,#VALUE!,None
134,Terrafugia TF-2 Tiltrotor,4130,4,333,555,500,3630,Cost per flight hour: $380-$421
136,Transcend Vy500,3171,6,652,644,993.577,2177.243,"empty 4800 lbs MTOW 6990 lbs, hover 40 mph"
143,Vimana AAV,1050,4,244,900,400,650,"MTOW 1050 kg, max payload 400, 8 propellers with 8 motors (60 kW), powerplant 200 kW"
147,VRCO NeoXCraft,450,2,338,120,180,270,"Max payload 180, 450 MTOM"
150,XTI Aircraft Trifan 200,,None,None,370,227,-227,Payload 227 kg
151,XTI Aircraft Trifan 600,2404,6,555,1240,816,1588,"Useful load VTOL 816 kg, MTOW VTOL 2404 kg"
155,Aurora Flight Sciences Pegasus PAV,800,2,180,80,None,#VALUE!,"Already flew in january 22,2019"
157,AutoFlightX BAT600,600,2,100,None,None,#VALUE!,None
158,Beta Technologies ALIA,2720,2,None,250,None,#VALUE!,None
159,SkyCab,3000,4,240,135,None,#VALUE!,None
161,Doroni H1,None,2,161,97,None,#VALUE!,None
162,Electrofluidsystems H2PlasmaRay 6.66,900,2,None,None,None,#VALUE!,Hybrid fuel cells
163,Flexcraft Utility Concept,3239,10,None,926,None,#VALUE!,None
164,Uber Elevate eCRM-003,None,5,322,96,None,#VALUE!,None
165,Aeromobile 5.0,None,4,,700,None,#VALUE!,
166,Airbus Helicopters city,None,4,120,30,None,#VALUE!,
167,Astro Aerospace Elroy,260,2,70,29,120,140,Speed = maximum
168,Aurora eVTOL,800,2,180,,225,575,
169,Carter Airtaxi,2494.8,4,282,256,499,1995.8,
170,Davinci ZeroG,240,1,70,None,150,90,Speed = maximum
171,eHang 184,260,1,60,38,100,160,
172,Karman XK-1,None,8,450,,200,#VALUE!,Speed = maximum
173,Kitty Hawk Cora,None,2,180,100,181,#VALUE!,
174,Workhorse Surefuly,680,2,113,113,181,499,
175,Volta Aquinea,520,1,80,None,10,510,
176,Volocopter VC200,450,2,100,None,150,300,
177,Volocopter 2X,450,2,100,None,160,290,
178,Urban Aeronautics CityHawk,1930,2,270,360,None,#VALUE!,
179,Trek FlyKart 2,None,None,102,None,None,#VALUE!,
180,Terrafugia TF-2 Lift+Push,4080,4,240,400,500,3580,
181,Sikorsky Firefly,929.9,2,159.3,None,None,#VALUE!,
182,Rolls-Royce eVTOL,None,5,402.3,804.7,None,#VALUE!,
183,Pop. Up Next,None,2,150,50,None,#VALUE!,
184,Opener BackFly,None,1,128,64,113,#VALUE!,
185,Lilium Jet V2,2000,5,300,300,None,#VALUE!,
