label,cd0_cruise,cL_max,cL_max_flaps60,cL_alpha,e,v_stall_flaps20,cL_descent_trans_flaps20,alpha_descent_trans_flaps20,cdi_climb_clean,alpha_climb_clean,cl_climb_clean,ld_climb,cL_alpha0_approach,alpha_approach,cd_cruise,cd_upsweep,cd_base,cL_cruise,cm_ac,cm_alpha,alpha_zero_L,ld_cruise,ld_max,cl_ld_max,downwash_angle,downwash_angle_wing,downwash_angle_prop,downwash_angle_stall,downwash_angle_wing_stall,downwash_angle_prop_stall,ld_stall,cd_stall,cd0_stall,mach_stall,deps_da,mach_cruise,cL_plus_slipstream,cL_plus_slipstream_stall,delta_alpha_zero_L_flaps60,cd_tot_cruise
Aero,0.037687725440614245,1.7,2.1,4.835390322508319,0.8105923299393963,42,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05517308346870026,0.01957801675420401,0.0,0.5968407115940274,-0.054,,,10.817606594937107,12.402729048130118,0.8978971994111077,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.1828324650971345,0.3396501541736354,0.12318089055263197,,0.3847881358029565,,,,,
Aero,0.04281752207810161,1.7,2.1,4.83539032250832,0.8105923299393963,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.060302880106187624,0.02300851688348156,0.0,0.5968407115940274,-0.054,,,9.897383185397576,11.633953694816489,0.9822906811579482,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.087132031355263,0.3449900526525047,0.12852078903150127,,0.38478813580295657,,,,,
Aero,0.03308019286380879,1.7,2.1,4.83539032250832,0.8105923299393963,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.0505655508918948,0.014171826280977542,0.0,0.5968407115940274,-0.054,,,11.80330681791693,13.2457442766588,0.897897199411108,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.264847504077899,0.3352036898955758,0.11873442627457237,,0.38478813580295657,,,,,
Aero,0.03750751882700598,1.7,2.1,4.835390322508322,0.8105923299393963,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05499287685509199,0.01822941756402447,0.0,0.5968407115940274,-0.054,,,10.853054899577666,12.433679074142667,0.8978971994111079,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.182472649441236,0.3396699215789973,0.12320065795799383,,0.3847881358029567,,,,,
Aero,0.03338662373041791,1.7,2.1,4.83539032250832,0.8105923299393963,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05087198175850392,0.014493874197428914,0.0,0.5968407115940274,-0.054,,,11.732208790829297,13.186136923196932,0.8978971994111078,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.25887674413407,0.3355234630508034,0.11905419942979995,,0.38478813580295657,,,,,
Aero,0.035679446368272166,1.7,2.1,4.895573293538493,0.799480152200161,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.052563628712446755,0.016511130517723255,0.0,0.5968407115940274,-0.054,,,11.3546329698638,13.132367125668129,0.9089108435340529,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.356416008166003,0.3303748523227803,0.1213481619332844,,0.3710260423501531,,,,,
Aero,0.03444742983226207,1.7,2.1,4.895573293538491,0.799480152200161,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05133161217643666,0.015404986962976956,0.0,0.5968407115940274,-0.054,,,11.627156956274247,13.37036971611826,0.9089108435340525,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.380316338192425,0.32913728547116844,0.12011059508167254,,0.37102604235015296,,,,,
Aero,0.034938923444127135,1.7,2.1,5.0264090832925765,0.7724135817234524,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05055562285499563,0.01569195197160233,0.0,0.5968407115940274,-0.054,,,11.805624733491952,14.182507472259447,1.0205417578444693,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.6899774072767535,0.31390240536773856,0.12056719220074208,,0.3404161070672408,,,,,
Aero,0.03520623204576663,1.7,2.1,5.0264090832925765,0.7724135817234524,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05082293145663513,0.01596384336730882,0.0,0.5968407115940274,-0.054,,,11.743531797320353,14.130017315529846,1.020541757844469,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.684094116177645,0.31417869998528725,0.12084348681829074,,0.3404161070672408,,,,,
Aero,0.034179309146369304,1.7,2.1,5.026409083292578,0.7724135817234524,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.0497960085572378,0.01504919699319431,0.0,0.5968407115940274,-0.054,,,11.985713893273022,14.34231694505048,0.9328143697888643,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.706087165789714,0.31314833047695745,0.11981311730996097,,0.3404161070672409,,,,,
Aero,0.034173561947673715,1.7,2.1,4.734893910026923,0.8276006759542479,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05268816689772381,0.015399556192161474,0.0,0.5968407115940274,-0.054,,,11.327794203821725,12.428042009669502,0.8794829146876084,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.015380525381328,0.34910509669990936,0.11989372491481376,,0.40734149772783607,,,,,
Aero,0.031907617543874583,1.7,2.1,4.734893910026921,0.8276006759542479,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.050422222493924675,0.013303836251582563,0.0,0.5968407115940274,-0.054,,,11.836858473779893,12.875564089665026,0.7968434262250096,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.055163106277256,0.3468114670309997,0.11760009524590408,,0.4073414977278359,,,,,
Aero,0.03471907495219355,1.7,2.1,4.734893910026921,0.8276006759542479,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05323367990224364,0.015826854084988365,0.0,0.5968407115940274,-0.054,,,11.211712447646745,12.332970996118274,0.8794829146876079,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.006213635586944,0.34963791290363955,0.12042654111854395,,0.4073414977278359,,,,,
Aero,0.03358360629886835,1.7,2.1,4.819535990358744,0.8133979260900871,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05122922352898354,0.014691184202801591,0.0,0.5968407115940274,-0.054,,,11.650395428233608,13.047532345214222,0.8949940329149129,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,6.218342463610618,0.33771057356346634,0.11925729615240925,,0.3883812538100695,,,,,
Aero,0.035154581075326596,1.7,2.1,4.734893910026922,0.8276006759542479,42.0,1.83,0.2219,0.013,0.0873,0.592,220.449,0.798,0.2,0.05366918602537669,0.016216897377917164,0.0,0.5968407115940274,-0.054,,,11.120733437466706,12.258109574900566,0.879482914687608,0.09530224102729465,0.05271264331632115,0.0786014329433922,0.22197201625968602,0.1517455318010746,0.4004370786386418,5.998714723114707,0.35007499054891195,0.12086361876381634,,0.407341497727836,,,,,
