label,battery_mass,fuelcell_mass,cooling_mass,h2_tank_mass,nu_FC_cruise_fraction,battery_power,battery_energy,battery_volume,fuelcell_volume,h2_tank_volume,h2_tank_length,powersystem_mass
Power,191.07607516287936,42,50.0,288.84746946700193,0.8738738738738738,726089.0856189416,206362161.1759097,67.43861476336919,0.039040559999999995,,1.5,571.9235446298812
Power,216.45823647845918,42,50.0,252.41679684725918,0.8428428428428428,822541.2986181448,233774895.39673588,76.39702463945618,0.039040559999999995,,1.5,560.8750333257184
Power,218.80529824217112,42,50.0,273.7395594953059,0.8518518518518519,831460.1333202502,236309722.1015448,77.2253993795898,0.039040559999999995,,1.5,584.5448577374771
Power,225.04555132839903,42,50.0,262.4246697476486,0.8428428428428428,855173.0950479163,243049195.43467095,79.4278416453173,0.039040559999999995,,1.5,579.4702210760477
Power,225.13592170132202,42,50.0,265.439974817083,0.8438438438438438,855516.5024650237,243146795.43742776,79.45973707105482,0.039040559999999995,,1.5,582.575896518405
Power,228.82168552172348,42,50.0,265.73860187401993,0.8418418418418419,869522.4049825493,247127420.36346132,80.76059489002004,0.039040559999999995,,1.5,586.5602873957434
Power,230.4967861846671,42,50.0,259.43185378969673,0.8378378378378378,875887.7875017349,248936529.07944047,81.35180688870604,0.039040559999999995,,1.5,581.9286399743638
Power,237.94214171899316,42,50.0,268.92251655991834,0.8388388388388388,904180.1385321739,256977513.05651256,83.97957943023287,0.039040559999999995,,1.5,598.8646582789115
Power,244.1135198537988,42,50.0,263.406933754106,0.8318318318318318,927631.3754444354,263642601.4421027,86.15771288957605,0.039040559999999995,,1.5,599.5204536079048
Power,245.7766026051286,42,50.0,282.082251570795,0.8408408408408409,933951.0898994887,265438730.81353885,86.74468327239832,0.039040559999999995,,1.5,619.8588541759236
Power,235.26017602813087,42,50.0,264.5754457769701,0.8378378378378378,893988.6689068973,254080990.1103813,83.03300330404618,0.039040559999999995,,1.5,591.835621805101
Power,225.96410092177055,42,50.0,272.14756378277974,0.8468468468468469,858663.5835027281,244041228.99551216,79.75203561944842,0.039040559999999995,,1.5,590.1116647045503
Power,223.6604513996705,42,50.0,265.64064246764764,0.8448448448448448,849909.7153187479,241553287.51164415,78.93898284694254,0.039040559999999995,,1.5,581.3010938673182
Power,221.0987859852698,42,50.0,270.14727658858504,0.8488488488488488,840175.3867440252,238786688.8640914,78.03486564185994,0.039040559999999995,,1.5,583.2460625738548
Power,221.1520900564186,42,50.0,262.73646546526754,0.8448448448448448,840377.9422143906,238844257.2609321,78.05367884344186,0.039040559999999995,,1.5,575.8885555216862
Power,222.88643363250418,42,50.0,273.0996205471838,0.8488488488488488,846968.4478035158,240717348.32310447,78.6658001055897,0.039040559999999995,,1.5,587.9860541796879
Power,222.4070936269402,42,50.0,263.9043687835344,0.8448448448448448,845146.9557823727,240199661.1170954,78.49662128009655,0.039040559999999995,,1.5,578.3114624104746
Power,221.94056567248538,42,50.0,265.6998035323497,0.8458458458458459,843374.1495554445,239695810.9262842,78.33196435499484,0.039040559999999995,,1.5,579.640369204835
Power,224.45438705885792,42,50.0,266.5789800562287,0.8448448448448448,852926.6708236601,242410738.02356654,79.21919543253809,0.039040559999999995,,1.5,583.0333671150867
Power,226.04381294786313,42,50.0,268.2234679002108,0.8448448448448448,858966.4892018798,244127317.98369217,79.7801692757164,0.039040559999999995,,1.5,586.2672808480739
Power,225.7378241585251,42,50.0,265.89773652563986,0.8438438438438438,857803.7318023953,243796850.09120706,79.6721732324206,0.039040559999999995,,1.5,583.635560684165
Power,225.8313701262177,42,50.0,267.977765252859,0.8448448448448448,858159.2064796272,243897879.73631513,79.70518945631214,0.039040559999999995,,1.5,585.8091353790767
Power,225.94101239354535,42,50.0,266.372561474567,0.8438438438438438,858575.8470954724,244016293.38502896,79.74388672713366,0.039040559999999995,,1.5,584.3135738681124
Power,225.85719490888687,42,50.0,267.588125025307,0.8448448448448448,858257.34065377,243925770.50159782,79.71430408548949,0.039040559999999995,,1.5,585.4453199341939
Power,226.17372888093286,42,50.0,266.6635712540228,0.8438438438438438,859460.1697475448,244267627.19140747,79.82602195797631,0.039040559999999995,,1.5,584.8373001349557
Power,225.90381401757102,42,50.0,267.401694424782,0.8448448448448448,858434.4932667699,243976119.13897666,79.73075788855446,0.039040559999999995,,1.5,585.305508442353
Power,225.90529943550223,42,50.0,267.10694019121917,0.8448448448448448,858440.1378549085,243977723.3903424,79.73128215370667,0.039040559999999995,,1.5,585.0122396267213
Power,225.82474217296354,42,50.0,267.2563158140656,0.8448448448448448,858134.0202572615,243890721.54680058,79.70285017869301,0.039040559999999995,,1.5,585.0810579870291
Power,225.83023871793304,42,50.0,267.1564726494205,0.8448448448448448,858154.9071281455,243896657.81536767,79.70479013574106,0.039040559999999995,,1.5,584.9867113673536
Power,225.81152188865903,42,50.0,267.21245417699726,0.8448448448448448,858083.7831769043,243876443.63975173,79.6981841959973,0.039040559999999995,,1.5,585.0239760656563
Power,225.8152641259743,42,50.0,267.1765240182139,0.8448448448448448,858098.0036787023,243880485.2560522,79.69950498563797,0.039040559999999995,,1.5,584.9917881441881
Power,225.80902970129716,42,50.0,267.19686510692435,0.8448448448448448,858074.3128649292,243873752.0774009,79.69730460045781,0.039040559999999995,,1.5,585.0058948082215
Power,225.81078330440351,42,50.0,267.18415558406014,0.8448448448448448,858080.9765567333,243875645.96875575,79.69792351920123,0.039040559999999995,,1.5,584.9949388884636
Power,225.80870216104807,42,50.0,267.1914009985511,0.8448448448448448,858073.0682119827,243873398.33393192,79.69718899801697,0.039040559999999995,,1.5,585.0001031595991
Power,225.80942207063305,42,50.0,267.18695697559474,0.8448448448448448,858075.8038684055,243874175.83628365,79.69744308375283,0.039040559999999995,,1.5,584.9963790462277
Power,225.80872572958464,42,50.0,267.18950386669303,0.8448448448448448,858073.1577724216,243873423.7879514,79.697197316324,0.039040559999999995,,1.5,584.9982295962777
